#scientific name	type materials and coidentical strains	has individual sequences?	has complete genomes or assemblies?
Frankia discariae	 BCU110501, CECT 9042, CECT:9042, DSM 46785, DSM:46785	yes	yes
Streptococcus hongkongensis	 CECT 8154, CECT:8154, DSM 26014, DSM:26014, HKU30	yes	no
Thermoanaerobacter sulfurophilus	 DSM 11584, DSM:11584, L-64	yes	no
Paenibacillus alvei	 ATCC 6344, ATCC:6344, BCCM/LMG:13253, CCM 2051, CCUG 1815, CCUG:1815, CIP 66.18, CIP:66.18, DSM 29, DSM:29, IFO 3343, IFO 3343., IFO:3343, JCM 20131, JCM:20131, LMG 13253, LMG:13253, NBRC 3343, NBRC:3343, NCCB 48008, NCCB:48008, NCIB 9371, NCTC 6352, NRRL B-383, NRRL:B:383, VKM B-502, VKM:B:502	yes	yes
Pseudocitrobacter anthropi	 BCCM/LMG:27750, C138, CCM 8478, CCM:8478, DSM 27454, LMG 27750, LMG:27750	yes	no
Risungbinella massiliensis	 CSUR P1082, DSM 46691, DSM:46691, GD1	yes	yes
Jeotgalicoccus marinus	 CCTCC AA 207028, CCTCC:AA:207028, DSM 19772, DSM:19772, JSM 076033, JSM:076033, KCTC 13189, KCTC:13189	yes	yes
Actinomadura verrucosospora	 ATCC 27299, ATCC:27299, BCRC 13408, BCRC:13408, CBS 258.72, CBS:258.72, CCM 3492, CCM:3492, CCRC 13408, CCRC:13408, CIP 105480, CIP:105480, DSM 43358, DSM 43550, DSM:43358, DSM:43550, IFO 14100, IFO:14100, IMET 9588, IMET:9588, JCM 3147, JCM:3147, NBRC 14100, NBRC:14100, NCIMB 11119, NCIMB:11119, NRRL B-16129, NRRL:B:16129, RIA 1503, RIA:1503, VKM Ac-668, VKM:Ac:668	yes	no
Neolyngbya arenicola	 ALCB 114386	yes	no
Lactobacillus siliginis	 DSM 22696, DSM:22696, JCM 16155, JCM:16155, KCTC 3985, KCTC:3985, M1-212, NBRC 101315, NBRC:101315	yes	yes
Rhizobium ecuadorense	 BCCM/LMG:27578, CNPSo 671, LMG 27578, LMG:27578, PIMAMPIRS I 5, PIMAMPIRS:I:5, UMR 1450, UMR:1450	yes	yes
Kribbella podocarpi	 DSM 29424, DSM:29424, NRRL B-65063, NRRL:B:65063, YPL1	yes	no
Thermococcus cleftensis	 CL1, DSM 27260, DSM:27260, KACC 17922, KACC:17922	yes	yes
Caballeronia grimmiae	 BCCM/LMG:27580, CGMCC 1.11013, CGMCC:1.11013, DSM 25160, DSM:25160, LMG 27580, LMG:27580, R27	yes	yes
Flavobacterium glycines	 Gm-149, ICMP 17618, ICMP:17618, NBRC 105008, NBRC:105008	yes	yes
Azoarcus evansii	 DSM 6898, DSM:6898, KB 740	yes	no
Helicobacter suis	 BCCM/LMG:23995, DSM 19735, DSM:19735, HS1, LMG 23995, LMG:23995	yes	yes
Lactobacillus hamsteri	 ATCC 43851, ATCC:43851, BCCM/LMG:10754, CCUG 30726, CCUG:30726, CIP 103365, CIP:103365, DSM 5661, DSM:5661, Ha5F1, JCM 6256, JCM:6256, LMG 10754, LMG:10754	yes	yes
Pseudovibrio japonicus	 IAM 15442, IAM:15442, JCM 23208, JCM:23208, KCTC 12861, KCTC:12861, NCIMB 14279, NCIMB:14279, WSF2	no	no
Reyranella aquatilis	 JCM 31892, JCM:31892, KCTC 52223, KCTC:52223, Seoho-37	yes	no
Catellatospora methionotrophica	 6257-B, ATCC 49965, ATCC:49965, CIP 107012, CIP:107012, DSM 44098, DSM:44098, IFO 14553, IMSNU 22006, IMSNU:22006, JCM 7543, JCM:7543, NBRC 14553, NBRC:14553, NRRL B-16431, NRRL:B:16431, VKM Ac-2008, VKM:Ac:2008	yes	no
Mucilaginibacter myungsuensis	 CECT 7550, CECT:7550, HMD1056, KCTC 22746, KCTC:22746	yes	no
Malacoplasma iowae	 695, ATCC 33552, NCTC 10185	yes	yes
Nocardioides insulae	 DS-51, DSM 17944, DSM:17944, JCM 15308, JCM:15308, KCTC 19180, KCTC:19180	yes	yes
Glaciimonas frigoris	 BCCM/LMG:28868, CCOS 838, CCOS:838, CCOS&lt;CHE&gt;:838, LMG 28868, LMG:28868, N1-38	yes	no
Legionella drancourtii	 ATCC 50991, ATCC:50991, LLAP 12	yes	yes
Thiothrix fructosivorans	 ATCC 49748, ATCC:49748, Q	yes	no
Algoriphagus aquatilis	 A8-7, CGMCC 1.7030, CGMCC:1.7030, NBRC 104237, NBRC:104237	yes	no
Caloramator mitchellensis	 DSM 25793, JCM 15828, JCM:15828, KCTC 5735, KCTC:5735, VF08	yes	yes
Marinactinospora thermotolerans	 CCTCC AA 208041, CCTCC:AA:208041, DSM 45154, DSM:45154, JCM 16903, JCM:16903, SCSIO 00652, SCSIO:00652	yes	yes
Paenibacillus zeae	 6R2, CICC 23860, CICC:23860, KCTC 33674, KCTC:33674	yes	no
Thermogemmatispora tikiterensis	 ICMP 18709, ICMP:18709, T81	no	yes
Acholeplasma oculi	 19L ATCC 27350, ATCC 27350, ATCC:27350, NCTC 10150, NCTC:10150	yes	yes
Wangella harbinensis	 CGMCC 4.7039, CGMCC:4.7039, DSM 45747, DSM:45747, NEAU-J3	yes	no
Arcobacter bivalviorum	 BCCM/LMG:26154, CECT 7835, CECT:7835, F4, LMG 26154, LMG:26154	yes	yes
Haemophilus piscium	 ATCC 10801, CCUG 15943, CIP 106116, JCM 7872	yes	no
Streptomyces qinglanensis	 172205, CGMCC 4.6825, CGMCC:4.6825, DSM 42035, DSM:42035	yes	yes
Chryseobacterium echinoideorum	 BCRC 80786, BCRC:80786, CC-CZW010, JCM 30470, JCM:30470	yes	no
Geobacter chapellei	 172, ATCC 51744, ATCC:51744, DSM 13688, DSM:13688	yes	no
Halodesulfovibrio spirochaetisodalis	 DSM 100016, DSM:100016, JC271, KCTC 15474, KCTC:15474	yes	yes
Cellulomonas phragmiteti	 DSM 22512, DSM:22512, KB23, NCAIM B002303	yes	no
Globicatella sanguinis	 1152-78, ATCC 51173, ATCC:51173, BCCM/LMG:18987, CCUG 32999, CCUG:32999, CIP 107044, CIP:107044, DSM 7447, DSM:7447, IFO 15551, IFO:15551, LMG 18987, LMG:18987, NBRC 15551, NBRC:15551, NCFB 2835, NCFB:2835, NCIMB 702835, NCIMB:702835, Strain 1152-78	yes	yes
Nonomuraea dietziae	 111, ATCC 35861, ATCC:35861, CIP 107127, CIP:107127, DSM 44320, DSM:44320, IFO 14309, IFO:14309, JCM 3338, JCM:3338, NBRC 14309, NBRC:14309, NRRL 11, NRRL 11111, NRRL:11111	yes	no
Pedobacter metabolipauper	 CIP 109480, CIP:109480, DSM 19035, DSM:19035, WB 2.3-71, WB:2.3-71	yes	yes
Streptomyces coeruleoaurantiacus	 4009	no	no
Lactobacillus timonensis	 CSUR P3825, Marseille-P3825	yes	yes
Longibacter salinarum	 KCTC 52045, KCTC:52045, MCCC 1H00132, MCCC:1H00132, WDS2C18	yes	yes
Desmonostoc danxiaense	 CHAB5868, CHAB5869, CHAB:5868, CHAB:5869	yes	no
Bradyrhizobium japonicum	 ATCC 10324, ATCC:10324, BCCM/LMG:6138, CCUG 27876, CCUG:27876, CIP 106093, CIP:106093, DSM 30131, DSM:30131, DSMZ 30131, HAMBI 2314, HAMBI:2314, IFO 14783, IFO:14783, JCM 20679, JCM:20679, LMG 6138, LMG:6138, NBRC 14783, NBRC:14783, NRRL B-4507, NRRL L-241, NRRL:B:4507, NRRL:L:241, USDA 6, USDA:6, VKM B-1967, VKM:B:1967	yes	yes
Rhizobium rhizoryzae	 ACCC 05916, ACCC:05916, DSM 19478, DSM 29514, J3-AN59, KCTC 23652, KCTC:23652	yes	no
Ammonifex thiophilus	 DSM 19636, DSM:19636, SR, VKM B-2461, VKM:B:2461	yes	yes
Cohnella formosensis	 BCRC 80428, BCRC:80428, CC-Alfalfa-35, JCM 18405, JCM:18405	yes	no
[Corynebacterium] ilicis	 ICMP 2608, ICMP:2608, ICPB CI144	yes	no
Rubrivivax benzoatilyticus	 ATCC BAA-35, ATCC:BAA:35, JA2, JCM 13220, JCM:13220, MTCC 7087, MTCC:7087	yes	yes
Shinella curvata	 C3, JCM 31239, JCM:31239, KEMB 2255-446, KEMB:2255-446, KEMC:2255-446	yes	no
Lentzea albidocapillata	 ATCC 51859, ATCC:51859, CCUG 48294, CCUG:48294, CIP 104842, CIP:104842, DSM 44073, DSM:44073, IFO 15855, IFO:15855, IMMIB D-958, IMMIB:D:958, IMSNU 21253, IMSNU:21253, JCM 9732, JCM:9732, NBRC 100372, NBRC 15855, NBRC:100372, NBRC:15855, NRRL B-24057, NRRL:B:24057	yes	yes
Mycobacterium tuberculosis variant bovis	 ATCC 19210, ATCC:19210, CIP 105234, CIP:105234, NCTC 10772, NCTC:10772	yes	yes
Salinisphaera hydrothermalis	 DSM 21483, DSM:21483, EPR70, JCM 15514, JCM:15514	yes	no
Spirosoma montaniterrae	 DY10, JCM 18492, JCM:18492, KCTC 23999, KCTC:23999, KEMB 9004-162, KEMB:9004-162, KEMC:9004-162	yes	yes
Thalassotalea agarivorans	 BCRC 17492, BCRC:17492, DSM 17297, DSM 19706, DSM:19706, JCM 13379, JCM:13379, TMA1	yes	yes
Bacillus caseinilyticus	 JCM 30246, JCM:30246, MCC 2612, MCC:2612, SP	yes	yes
Angustibacter speluncae	 DSM 103769, DSM:103769, KCTC 39842, KCTC:39842, YC2-20	yes	no
Bacillus marinisedimentorum	 KCTC 33721, KCTC:33721, MCCC 1K01239, MCCC:1K01239, NC2-31	yes	yes
Nonlabens aestuariivivens	 KCTC 52502, KCTC:52502, NBRC 112459, NBRC:112459, OITF-31	yes	no
Nonomuraea helvata	 ATCC 27295, ATCC:27295, BCRC 13402, BCRC:13402, CBS 259.72, CBS:259.72, CCRC 13402, CCRC:13402, DSM 43142, DSM:43142, IFO 14681, IFO:14681, IMET 9584, IMET:9584, JCM 3143, JCM:3143, KCC A-0143, KCTC 9274, KCTC:9274, NBRC 14681, NBRC:14681, NCIMB 11115, NCIMB:11115, NRRL B-16123, NRRL:B:16123, PCM 2199, PCM:2199	yes	no
Sphingomonas prati	 CGMCC 1.15645, CGMCC:1.15645, DSM 103336, DSM:103336, W18RD	yes	no
Terrabacter carboxydivorans	 DSM 27984, JCM 16259, JCM:16259, KCCM 42922, KCCM:42922, PY2	yes	no
Corynebacterium terpenotabidum	 CIP 105927, CIP:105927, DSM 44721, DSM:44721, IFO 14764, IFO:14764, JCM 10555, JCM:10555, NBRC 14764, NBRC:14764, VKM Ac-2071, VKM:Ac:2071, Y-11	yes	yes
Pedobacter rhizosphaerae	 01-96, DSM 18610, DSM 25732, DSM:18610, KACC 14938, KACC:14938, NBRC 107690, NBRC:107690	yes	yes
Sediminicoccus rosea	 CGMCC 1.12302, CGMCC:1.12302, NBRC 109675, NBRC:109675, R-30	yes	no
Plantactinospora veratri	 CGMCC 4.7143, CGMCC:4.7143, DSM 46718, DSM:46718, NEAU-FHS4	yes	no
Pseudomonas boreopolis	 ATCC 33662, CCUG 3365, CIP 106717, DSM 19620, JCM 13306, LMG 979, NCIB 9401, NCIMB 9401	yes	no
Thermoleptolyngbya albertanoe	 CCALA 10257, CCALA:10257, ETS-08, SAG 2016.001, SAG:2016.001	yes	no
Alistipes putredinis	 ATCC 29800, ATCC:29800, CCUG 45780, CCUG:45780, CIP 104286, CIP:104286, DSM 17216, DSM:17216, JCM 16772, JCM:16772	yes	yes
Herbaspirillum piri	 CFCC 14641, CFCC:14641, KCTC 52804, KCTC:52804, LMG 52804, shQ-4	yes	no
Nonomuraea syzygii	 BCC 70457, BCC:70457, GKU 164, NBRC 110400, NBRC:110400	yes	no
Ghiorsea bivora	 DSM 103937, DSM:103937, JCM 31637, JCM:31637, NCMA B5, TAG-1	yes	yes
Spirosoma fluminis	 15J17T, JCM 31409, JCM:31409, KCTC 52198, KCTC:52198	yes	no
Hydrogenophaga crassostreae	 JCM 31188, JCM:31188, KACC 18705, KACC:18705, LPB0072	yes	yes
Franconibacter daqui	 BCCM/LMG:29914, CGMCC 1.15944, CGMCC:1.15944, DL503, LMG 29914, LMG:29914	yes	no
Bacillus safensis subsp. osmophilus	 BC09, CECT 9344, CECT:9344, LMG 30124, LMG:30124	yes	yes
Bifidobacterium scaligerum	 DSM 103140, DSM:103140, JCM 31792, JCM:31792, TRE D	no	yes
Xanthobacter agilis	 ATCC 43847, ATCC:43847, BCCM/LMG:16336, DSM 3770, DSM:3770, LMG 16336, LMG:16336, SA 35, VKM B-2105, VKM:B:2105	yes	no
Ahniella affigens	 D13, JCM 31634, JCM:31634, KACC 19270, KACC:19270	yes	yes
Bartonella alsatica	 382, CCUG 45774, CCUG:45774, CIP 105477, CIP:105477, DSM 21432, DSM:21432, IBS 382, IBS:382	yes	yes
Halorubrum trueperi	 CGMCC 1.15503, CGMCC:1.15503, JCM 31271, JCM:31271, Y73	yes	no
Pycnacronema rubrum	 43PC	yes	no
Streptobacillus hongkongensis	 DSM 26322, DSM:26322, HKU33, JCM 18691, JCM:18691, NCTC 13659, NCTC:13659	yes	yes
Aquimarina megaterium	 CGMCC 1.12186, CGMCC:1.12186, JCM 18215, JCM:18215, XH134	yes	yes
Carnobacterium jeotgali	 DSM 23388, JCM 15539, JCM:15539, KCTC 13251, KCTC:13251, MS3	yes	yes
Gordonia hydrophobica	 1610/1b, ATCC 700089, ATCC:700089, CCUG 38497, CCUG:38497, CIP 104672, CIP:104672, DSM 44015, DSM:44015, IFO 16057, IFO:16057, JCM 10086, JCM:10086, NBRC 16057, NBRC:16057	yes	yes
Neisseria elongata subsp. glycolytica	 ATCC 29315, ATCC:29315, CCUG 6508 A, CCUG:6508 A, CIP 82.85, CIP:82.85, DSM 23337, NCTC 11050, NCTC:11050	yes	yes
Oryzihumus leptocrescens	 DSM 18082, JCM 12835, JCM:12835, KV-628, NBRC 100762, NBRC:100762, NRRL B-24347, NRRL:B:24347	yes	no
Meiothermus silvanus	 ATCC 700542, ATCC:700542, DSM 9946, DSM:9946, V1-R2, VI-R2	yes	yes
Porphyromonas loveana	 DSM 28520, DSM:28520, MRK101, NCTC 13658, NCTC:13658, UQD 444, UQD444	yes	yes
Streptomyces thioluteus	 ATCC 12310, ATCC:12310, BCRC 12428, BCRC:12428, CBS 642.72, CBS:642.72, CCRC 12428, CCRC:12428, DSM 40027, DSM 41486, DSM:40027, DSM:41486, HUT 6071, HUT:6071, IFO 13341, IFO 3364, IFO:13341, IFO:3364, ISP 5027, ISP:5027, JCM 4087, JCM 4844, JCM:4087, JCM:4844, NBRC 13341, NBRC 3364, NBRC:13341, NBRC:3364, NRRL B-1667, NRRL ISP-5027, NRRL-ISP 5027, NRRL-ISP:5027, NRRL:B:1667, RIA 1302, RIA:1302, VKM Ac-1914, VKM:Ac:1914	yes	no
Agromyces cerinus	 ATCC 51762, ATCC:51762, BCCM/LMG:16155, CIP 103632, CIP:103632, DSM 8595, DSM:8595, IFO 15780, IFO:15780, JCM 9083, JCM:9083, LMG 16155, LMG:16155, NBRC 15780, NBRC:15780, VKM Ac-1340, VKM:Ac:1340	yes	yes
Ciceribacter lividus	 DSM 25528, DSM:25528, KCTC 32403, KCTC:32403, MSSRFBL1	yes	yes
Maribacter confluentis	 CECT 8869, CECT:8869, KCTC 42604, KCTC:42604, SSK2-2	yes	no
Mobilibacterium massiliense	 CSUR P2510, Marseille-P2510	yes	no
Rhizobium daejeonense	 CCBAU 10050, CCBAU:10050, DSM 17795, IAM 15042, IAM:15042, JCM 21505, JCM:21505, KCTC 12121, KCTC:12121, L61, NBRC 102495, NBRC:102495	yes	no
Metamycoplasma spumans	 ATCC 19526, IFO 14849, NBRC 14849, NCTC 10169, PG 13	yes	yes
Aquaspirillum putridiconchylium	 ATCC 15279, ATCC:15279, BCCM/LMG:4342, DSM 11557, DSM:11557, IAM 14964, IAM:14964, IFO 13962, IFO:13962, LMG 4342, LMG:4342, NBRC 13962, NBRC:13962	yes	no
Reichenbachiella faecimaris	 DSM 26133, DSM:26133, JCM 16588, JCM:16588, KACC 14523, KACC:14523, PCP11	yes	yes
Shewanella glacialipiscicola	 BCCM/LMG:23744, LMG 23744, LMG:23744, NBRC 102030, NBRC:102030, T147	yes	no
Erythrobacter pelagi	 JCM 17468, JCM:17468, NRRL 59511, NRRL:59511, UST081027-248	yes	no
Bizionia saleffrena	 ACAM 1059, ACAM:1059, CIP 108534, CIP:108534, HFD	yes	no
Agrococcus lahaulensis	 DSM 17612, DSM:17612, JCM 14301, JCM:14301, K22-21, MTCC 7154, MTCC:7154	yes	yes
Bradyrhizobium retamae	 BCCM/LMG:27393, CECT 8261, CECT:8261, LMG 27393, LMG:27393, Ro19	yes	yes
Lactobacillus mellis	 CCUG 63289, CCUG:63289, DSM 26255, DSM:26255, Hon2N	yes	no
[Clostridium] paradoxum	 ATCC 51510, ATCC:51510, CIP 105527, CIP:105527, DSM 7308, DSM:7308, JW-YL-7	yes	yes
Arthrobacter gandavensis	 BCCM/LMG:21285, DSM 15046, DSM:15046, JCM 13316, JCM:13316, LMG 21285, LMG:21285, R-5812	yes	no
Tolypothrix tenuis	 PCC 7101, PCC:7101	yes	no
Alcaligenes faecalis subsp. phenolicus	 DSM 16503, DSM:16503, J, NRRL B-41076, NRRL:B:41076	yes	yes
Bartonella coopersplainsensis	 AUST/NH20, CCUG 52174, CCUG:52174, CIP 109064, CIP:109064, CSUR B619, DSM 23499, DSM:23499	yes	no
Ectothiorhodospira variabilis	 DSM 21381, DSM:21381, VKM B-2479, VKM:B:2479, WN22	yes	no
Microcystis aeruginosa	 IAM M-247, IAM:M:247, NC7, NIES 843, NIES:843	yes	yes
Paenibacillus wooponensis	 JCM 16350, JCM:16350, KCTC 13280, KCTC:13280, WPCB018	yes	no
Saprospira grandis	 ATCC 23119, ATCC:23119, BCCM/LMG:10407, JCM 21750, JCM:21750, LMG 10407, LMG:10407	yes	no
Achromobacter denitrificans	 ATCC 15173, ATCC:15173, BCCM/LMG:1231, CCUG 407, CCUG:407, CIP 77.15, CIP:77.15, DSM 30026, DSM:30026, IFO 15125, IFO:15125, JCM 5490, JCM 9657, JCM:5490, JCM:9657, LMG 1231, LMG:1231, NBRC 15125, NBRC:15125, NCTC 8582, NCTC:8582	yes	yes
Lysobacter niabensis	 DSM 18244, DSM:18244, GH34-4, KACC 11587, KACC:11587	yes	no
Marinirhabdus citrea	 JCM 31588, JCM:31588, KCCM 43216, KCCM:43216, MEBiC09412	yes	no
Diaphorobacter aerolatus	 8604S-37, DSM 100045, KACC 16536, KACC:16536, NBRC 108926, NBRC:108926	yes	no
Mycolicibacterium canariasense	 502329, CCUG 47953, CCUG:47953, CIP 107998, CIP:107998, DSM 44828, DSM:44828, JCM 15298, JCM:15298	yes	yes
Xanthomonas oryzae pv. oryzicola	 ICMP 5743, ICMP:5743, NCPPB 1585, NCPPB:1585, WHRI 5234, WHRI:5234	yes	yes
Pseudomonas versuta	 BCCM/LMG:29628, DSM 101070, DSM:101070, L10.10, LMG 29628, LMG:29628, type strain L10.10	yes	yes
Sphingomonas ginsenosidivorax	 BCCM/LMG:25801, JCM 17076, JCM:17076, KACC 14951, KACC:14951, KHI67, LMG 25801, LMG:25801	yes	no
Thermotoga naphthophila	 DSM 13996, DSM:13996, JCM 10882, JCM:10882, RKU-10, RKU10	yes	yes
Tumebacillus algifaecis	 CGMCC 1.10949, CGMCC:1.10949, NBRC 108765, NBRC:108765, THMBR28	yes	yes
Corynebacterium defluvii	 CGMCC:1.15506, DSM:107483, KCTC:39731, Y49	no	no
Faecalicatena contorta	 113 VI, ATCC 25540, ATCC:25540, CCUG 52236, DSM 3982, DSM:3982, JCM 6483	yes	no
Xanthomonas cassavae	 BCCM/LMG:673, CFBP 4642, CFBP:4642, DSM 18958, Dye ZD1, ICMP 204, ICMP:204, LMG 673, LMG:673, NCPPB 101, NCPPB:101	yes	yes
Leisingera caerulea	 BCCM/LMG:24369, CCUG 55859, CCUG:55859, DSM 24564, DSM:24564, LMG 24369, LMG:24369	yes	yes
Rhodothermus marinus	 ATCC 43812, ATCC:43812, DSM 12399, DSM 4252, DSM:4252, JCM 9785, OKD7	yes	yes
Actinoplanes tsinanensis	 CPCC 200056, CPCC:200056	yes	no
Sphingosinicella cucumeris	 CCTCC AB 2015120, CCTCC:AB:2015120, KACC 18279, KACC:18279, THG-sc1	yes	no
Nocardia neocaledoniensis	 DSM 44717, DSM:44717, JCM 12604, JCM:12604, NBRC 108232, NBRC:108232, NCIMB 13955, NCIMB:13955, SBH R OA6, SBHR OA6	yes	yes
Streptomyces erumpens	 AS 4.1626, AS:4.1626, ATCC 23266, ATCC:23266, CBS 252.65, CBS:252.65, DSM 40941, DSM:40941, IFO 15403, IFO:15403, JCM 5060, JCM:5060, KCTC 9729, KCTC:9729, NBRC 15403, NBRC:15403, NRRL B-3163, NRRL:B:3163	yes	no
Actinophytocola glycyrrhizae	 BMP B8152, CGMCC 4.7433, CGMCC:4.7433, KCTC 49002, KCTC:49002	yes	no
Candidatus Frankia californiensis	 Dg2	yes	yes
Phenylobacterium composti	 4T-6, DSM 19425, DSM:19425, KACC 12597, KACC:12597, NBRC 106419, NBRC:106419	yes	no
Photobacterium damselae subsp. piscicida	 ATCC 51736, ATCC:51736, CIP 104404, CIP:104404, DSM 22834, NCIMB 2058, NCIMB:2058	yes	no
Pycnacronema conicum	 7PC	yes	no
Mycoplasma falconis	 ATCC 51372, ATCC:51372, H/T1	yes	no
Streptococcus sobrinus	 ATCC 33478, ATCC:33478, BCCM/LMG:14641, CCM 6070, CCUG 25735, CCUG:25735, CIP 103230, CIP:103230, DSM 20742, DSM:20742, DSMZ 20742, HAMBI 1516, HAMBI:1516, LMG 14641, LMG:14641, NCTC 12279, NCTC:12279, SL1	yes	yes
Pseudoalteromonas distincta	 ATCC 700518, ATCC:700518, CIP 105340, CIP:105340, DSM 12749, KMM 638, KMM:638	yes	yes
Pectobacterium polaris	 DSM 105255, DSM:105255, NCPPB 4611, NCPPB:4611, NIBIO1006	yes	yes
Pseudoglutamicibacter albus	 ATCC BAA-273, ATCC:BAA:273, CCM 4905, CCUG 43812, CCUG:43812, CF-43, CF43, CIP 106791, CIP:106791, DSM 13068, DSM:13068, JCM 11943, JCM:11943, KCTC 9908	yes	no
Syntrophus aciditrophicus	 ATCC 700169, ATCC:700169, DSM 26646, DSM:26646, JCM 18717, JCM:18717, SB	yes	yes
Aestuariibaculum scopimerae	 I-15, JCM 19486, JCM:19486, KCTC 32459, KCTC:32459	yes	no
Bradyrhizobium icense	 CECT 8509, CECT:8509, CNPSo 2583, HAMBI 3584, HAMBI:3584, LMTR 13	yes	yes
Microbacterium paludicola	 DSM 16915, DSM:16915, JCM 14308, JCM:14308, KCTC 19080, KCTC:19080, US15	yes	no
Pantoea rodasii	 BCC 581, BCC:581, BCCM/LMG:26273, BD 943, DSM 26611, DSM:26611, LMG 26273, LMG:26273	yes	yes
Jonesia luteola	 CCTCC AB 2014350, CCTCC:AB:2014350, DSM 21367, DSM:21367, YIM 93067, YIM:93067	yes	no
Photobacterium panuliri	 BCCM/LMG:27617, DSM 27646, DSM:27646, JCM 19199, JCM:19199, LBS5, LMG 27617, LMG:27617	yes	no
Rhodococcus antrifimi	 D7-21, DSM 46727, DSM:46727, KCTC 29469, KCTC:29469	yes	no
Psychrobacter fozii	 BCCM/LMG:21280, CECT 5889, CECT:5889, DSM 15870, LMG 21280, LMG:21280, NF23	yes	yes
Altererythrobacter namhicola	 JCM 16345, JCM:16345, KCTC 22736, KCTC:22736, KYW48	yes	yes
Clavibacter sepedonicus	 ATCC 33113, CCUG 23908, CFBP 2049, CIP 104844, DSM 20744, DSMZ 20744, ICMP 2535, ICPB CS101, JCM 9667, LMG 2889, NCPPB 2137, VKM Ac-1405	yes	yes
Dactylosporangium matsuzakiense	 ATCC 31570, ATCC:31570, DSM 43810, DSM:43810, FERM P 4670, FERM P-4670, FERM-P 4670, FERM:P:4670, IFO 14259, IFO:14259, JCM 3311, JCM:3311, NBRC 14259, NBRC:14259, NRRL B-16293, NRRL:B:16293, SF-2052, VKM Ac-1321, VKM:Ac:1321	yes	no
Paraburkholderia caballeronis	 BCCM/LMG:26416, CIP 110324, CIP:110324, DSM 104148, LMG 26416, LMG:26416, TNe-841	yes	yes
Arthrobacter ginsengisoli	 DCY81, JCM 19357, JCM:19357, KCTC 29225, KCTC:29225	yes	no
Streptomyces rubiginosohelvolus	 ATCC 19926, ATCC 23960, ATCC:19926, ATCC:23960, BCRC 13780, BCRC:13780, CBS 943.68, CBS:943.68, CCRC 13780, CCRC:13780, DSM 40176, DSM:40176, IFO 12912, IFO:12912, INA 10 /53, INA 10/53, INA:10/53, ISP 5176, ISP:5176, JCM 4415, JCM:4415, NBRC 12912, NBRC:12912, NRRL B-5425, NRRL-ISP 5176, NRRL-ISP:5176, NRRL:B:5425, RIA 1136, RIA:1136, VKM Ac-1072, VKM:Ac:1072	yes	no
Aliifodinibius salicampi	 KACC 19060, KACC:19060, KHM44, NBRC 112531, NBRC:112531	yes	no
Mycoplasma hyopharyngis	 ATCC 51909, ATCC:51909, H3-6B F, NCTC 11705, NCTC:11705	yes	no
Alcanivorax dieselolei	 B-5, B5, CGMCC 1.3690, CGMCC:1.3690, DSM 16502, DSM:16502, MCCC 1A00001, MCCC:1A00001	yes	yes
Treponema porcinum	 14V28, ATCC BAA-908, ATCC:BAA:908, CIP 108245, CIP:108245, JCM 12342, JCM:12342	yes	yes
Asanoa iriomotensis	 DSM 44745, DSM:44745, JCM 13312, JCM:13312, NBRC 100142, NBRC:100142, TT 97-02	yes	no
Clostridium arbusti	 DSM 23575, DSM:23575, JCM 14858, JCM:14858, KCTC 5449, KCTC:5449, SL206	yes	yes
Kushneria endophytica	 BCCM/LMG:29858, CECT 9075, CECT:9075, EAod7, LMG 29858, LMG:29858	yes	no
Leptotrichia buccalis	 ATCC 14201, ATCC:14201, CCUG 34316, CCUG:34316, CIP 105792, CIP:105792, DSM 1135, DSM:1135, JCM 12969, JCM:12969, NCTC 10249, NCTC:10249	yes	yes
Rhizobium tropici	 ATCC 49672, ATCC:49672, BCCM/LMG:9503, CIAT 899, CIAT:899, DSM 11418, DSM:11418, HAMBI 1163, HAMBI:1163, IFO 15247, IFO:15247, JCM 21072, JCM:21072, LMG 9503, LMG:9503, NBRC 15247, NBRC:15247, USDA 9030, USDA:9030	yes	yes
Roseovarius mucosus	 DFL-24, DSM 17069, DSM:17069, NCIMB 14077, NCIMB:14077	yes	yes
Pedococcus cremeus	 CGMCC 1.6963, DSM 28108, NBRC 104261, V2M29	yes	yes
Comamonas testosteroni	 ATCC 11996, ATCC:11996, BCCM/LMG:1786, BCCM/LMG:1800, CCUG 1426, CCUG:1426, CFBP 2436, CFBP:2436, CIP 59.24, CIP:59.24, DSM 50244, DSM:50244, DSMZ 50244, HAMBI 403, HAMBI:403, IAM 12419, IAM:12419, ICPB 2741-78, IFO 14951, IFO:14951, JCM 5832, JCM 6221, JCM:5832, JCM:6221, KS 0043, KS0043, Ks 0043, LMG 1786, LMG 1800, LMG:1786, LMG:1800, NBRC 14951, NBRC:14951, NCAIM B.01655, NCCB 86053, NCCB:86053, NCIB 8955, NCIB:8955, NCIMB 8955, NCIMB:8955, NCTC 10698, NCTC:10698, NRRL B-2611, NRRL:B:2611, VKM B-1241, VKM B-1241., VKM:B:1241	yes	yes
Microbacterium oryzae	 DSM 23396, DSM:23396, JCM 16837, JCM:16837, MB10	yes	no
